Country,gdp,primary_edu,secondary_edu,tertiary_edu,fertility
Brazil,9003.240501373752,104.70149040222175,105.00703811645475,60.97304344177245,44.0312
India,2343.792555155878,109.44868679022179,79.27988435968966,32.5444044371225,13.9986
Italy,36852.07173762798,102.21427726745625,101.4259033203125,72.46087265014647,3.0044
Malaysia,11175.132956151085,91.48118671814805,77.35299549226414,38.139170352203806,6.331
Niger,634.317283922407,65.91304415477,20.7134950853922,,146.8172
Switzerland,95715.76099933918,101.6135452270508,103.12069244384762,72.33267822265624,1.4982
